index;Time;rainSum;AvgTemp;MinTemp;MaxTemp;Pressure;SumGlobalRad;AvgSimpWindSpeed;MaxWindSpeed;OceanLvlPressure;AvgWindSpeed;SumPotentEvap
763;2022-01-02;0.0;6.9;1.3;13.2;1012.9;632.5;2.6;7.8;1023.2;2.6;0.8
764;2022-01-03;0.0;6.2;2.5;11.6;1006.2;191.5;2.7;7.1;1016.5;2.7;1.0
765;2022-01-04;0.0;7.4;1.7;12.7;999.5;329.4;5.3;11.3;1009.6;5.3;1.4
766;2022-01-05;1.5;8.9;6.4;14.5;994.2;316.3;5.7;11.9;1004.2;5.6;1.7
767;2022-01-06;0.0;3.8;2.5;7.1;1003.9;298.7;4.8;10.6;1014.1;4.8;1.4
768;2022-01-07;0.0;-1.2;-5.3;3.3;1012.3;729.0;2.7;7.7;1022.9;2.7;1.0
769;2022-01-08;6.0;-1.0;-3.7;0.0;1005.9;126.4;2.1;4.9;1016.4;2.1;0.4
770;2022-01-09;0.0;-1.2;-2.5;0.1;998.6;357.9;2.0;5.7;1009.0;1.9;0.3
771;2022-01-10;0.0;-1.9;-4.4;-0.4;1003.5;466.5;4.8;10.2;1014.0;4.9;0.6
772;2022-01-11;0.0;-1.0;-1.3;0.0;1015.2;221.0;7.6;15.1;1025.8;7.6;0.8
773;2022-01-12;0.0;-4.5;-8.0;-0.5;1024.1;754.8;4.3;11.7;1034.9;4.5;0.7
774;2022-01-13;0.0;-5.1;-11.3;0.6;1026.9;886.1;2.4;5.9;1037.8;2.3;0.4
775;2022-01-14;0.0;2.1;-4.3;8.5;1016.6;751.9;3.3;11.2;1027.1;3.2;1.2
776;2022-01-15;0.0;1.0;-2.1;7.4;1017.3;741.7;1.6;4.8;1027.8;1.7;0.8
777;2022-01-16;0.0;-4.4;-7.5;0.5;1016.3;382.5;1.3;3.8;1027.1;1.3;0.2
778;2022-01-17;0.0;1.5;-4.8;5.6;1011.9;196.7;5.7;21.7;1022.4;5.5;0.9
779;2022-01-18;0.0;1.1;-0.9;6.4;1021.6;797.6;5.0;11.7;1032.1;4.9;1.2
780;2022-01-19;0.0;-1.3;-6.0;4.4;1020.6;828.7;2.4;6.3;1031.2;2.3;0.6
781;2022-01-20;0.0;-0.2;-5.8;4.1;1009.6;251.7;3.2;14.2;1020.1;3.1;0.7
782;2022-01-21;0.0;-0.1;-1.5;3.2;1011.8;765.4;6.9;16.0;1022.3;6.8;1.2
783;2022-01-22;0.6;-0.7;-2.5;2.2;1011.8;549.3;4.0;12.1;1022.4;4.2;1.0
784;2022-01-23;0.0;-2.6;-6.9;2.5;1018.6;866.6;3.5;10.3;1029.3;3.4;1.0
785;2022-01-24;0.0;-4.1;-6.9;0.1;1025.2;882.7;3.4;9.2;1036.1;3.4;1.0
786;2022-01-25;0.0;-4.4;-11.4;0.4;1022.4;737.4;2.3;6.8;1033.1;2.4;0.7
787;2022-01-26;0.0;1.3;-0.9;3.9;1017.6;310.7;2.4;6.3;1028.2;2.3;0.8
788;2022-01-27;0.0;0.9;-3.6;5.8;1014.0;507.8;3.5;9.7;1024.5;3.4;0.8
789;2022-01-28;0.0;4.8;-1.2;8.5;1011.0;607.1;7.3;19.9;1021.3;7.1;1.8
790;2022-01-29;0.1;2.5;-0.5;6.3;1015.8;934.0;4.0;12.0;1026.3;4.0;1.5
791;2022-01-30;0.0;5.7;1.2;11.6;1005.3;748.6;8.1;27.7;1015.5;8.3;2.3
792;2022-01-31;0.0;2.7;0.4;6.6;1001.3;339.1;3.9;14.9;1011.6;4.0;1.5
793;2022-02-01;0.1;1.1;-1.0;5.2;1000.3;496.1;3.4;9.7;1010.6;3.3;0.9
794;2022-02-02;0.1;3.4;-3.9;8.8;998.8;517.6;5.6;14.9;1009.1;5.4;1.3
795;2022-02-03;0.0;2.7;0.1;6.9;1011.1;828.1;3.9;13.5;1021.6;3.9;1.6
796;2022-02-04;0.0;2.0;-2.6;8.0;1007.8;827.5;3.4;10.9;1018.2;3.4;1.1
797;2022-02-05;0.0;4.2;-1.8;10.5;1009.8;456.8;3.9;14.0;1020.1;4.0;1.7
798;2022-02-06;0.0;3.5;-4.0;11.6;1009.0;992.6;4.2;13.0;1019.4;4.2;1.8
799;2022-02-07;2.5;5.5;2.8;7.9;998.7;315.9;7.5;21.5;1008.9;7.3;1.7
800;2022-02-08;0.4;5.0;1.0;9.1;1014.6;1079.5;5.9;17.1;1024.9;6.0;2.0
801;2022-02-09;0.0;8.1;5.3;14.1;1017.5;1055.7;3.5;11.8;1027.8;3.6;1.9
802;2022-02-10;0.0;5.3;-2.1;14.8;1014.6;1106.0;2.2;6.5;1024.9;2.2;1.4
803;2022-02-11;0.0;6.8;-1.0;14.8;1013.1;882.0;4.3;15.5;1023.3;4.3;2.2
804;2022-02-12;0.0;4.4;-0.5;9.7;1022.7;1174.0;3.5;10.8;1033.2;3.7;2.0
805;2022-02-13;0.0;0.9;-5.0;6.0;1018.7;530.7;3.2;11.2;1029.3;3.0;1.2
806;2022-02-14;1.0;4.6;-2.3;12.0;1010.1;1011.4;4.1;11.9;1020.4;4.2;1.7
807;2022-02-15;0.1;8.6;3.6;16.2;1005.9;1120.2;4.4;9.5;1016.1;4.4;2.2
808;2022-02-16;0.0;7.2;5.0;12.8;1004.9;963.2;3.2;7.9;1015.1;3.0;1.5
809;2022-02-17;0.0;9.1;0.8;17.2;996.6;984.4;6.2;18.8;1006.7;6.3;2.7
810;2022-02-18;0.0;8.7;4.0;14.5;1004.6;730.3;5.3;14.0;1014.7;5.3;2.9
811;2022-02-19;0.0;7.7;2.0;11.8;1006.6;207.2;3.8;13.7;1016.8;4.1;2.5
812;2022-02-20;0.0;6.8;3.5;12.3;1009.2;1188.9;3.6;11.3;1019.4;3.6;1.8
813;2022-02-21;3.8;5.7;0.1;12.9;998.6;499.1;4.0;14.0;1008.7;4.0;1.2
814;2022-02-22;0.0;5.5;0.9;10.4;1003.4;1031.8;5.1;13.1;1013.6;5.2;1.7
815;2022-02-23;0.4;5.3;-0.3;12.2;1013.2;791.7;4.9;16.4;1023.5;5.0;2.0
816;2022-02-24;0.0;4.3;-3.5;11.9;1014.4;1433.6;2.9;10.5;1024.8;3.0;2.0
817;2022-02-25;0.0;5.3;-2.3;12.3;1009.2;1254.7;5.4;13.2;1019.5;5.3;2.2
818;2022-02-26;1.6;5.7;2.9;10.1;1015.4;1093.0;5.7;13.5;1025.8;5.7;2.0
819;2022-02-27;0.0;5.1;2.4;9.4;1017.2;1077.2;5.7;12.8;1027.6;5.6;1.7
820;2022-02-28;1.8;1.9;-0.2;7.4;1016.5;621.3;5.0;11.4;1027.0;5.0;1.0
821;2022-03-01;0.0;2.7;-2.1;8.4;1017.8;1492.1;4.8;10.9;1028.3;4.9;1.9
822;2022-03-02;0.0;2.2;-3.7;8.2;1011.9;1487.2;3.6;9.7;1022.3;3.7;1.8
823;2022-03-03;0.0;2.8;-3.9;8.7;1006.5;1340.0;1.5;5.2;1016.8;1.5;1.8
824;2022-03-04;0.0;3.3;-0.4;7.5;1006.5;916.4;3.5;9.4;1016.9;3.5;1.8
825;2022-03-05;0.0;1.9;-5.3;7.5;1009.3;1111.2;4.3;12.0;1019.7;4.2;1.7
826;2022-03-06;0.0;2.7;-3.0;8.5;1008.4;1033.4;4.0;8.5;1018.8;4.0;1.7
827;2022-03-07;0.0;1.4;-3.3;5.6;1008.9;979.8;3.9;9.4;1019.4;3.8;1.3
828;2022-03-08;0.0;1.7;-1.4;6.9;1010.6;1061.0;4.2;12.9;1021.1;4.2;1.6
829;2022-03-09;0.4;2.4;-4.4;7.7;1011.8;655.0;3.2;9.5;1022.2;3.2;1.6
830;2022-03-10;0.0;2.3;-0.2;6.7;1016.7;1738.5;7.3;15.9;1027.2;7.2;1.8
